Čas,Vek,Pohlavie,Hodiny tyždenne,Ste z bilgymu?,Ročník,"Aku ""competitive"" hru hráš (zatiaľ 1 potom sa dá vrátiť)",Hrate ešte ďalšiu hru?,Aký je váš počet hodín v tejto hre? (stači približne),"Aký je váš ""peak"" rank v solo/duo?",Aký je váš počet hodín v tejto hre?(stači približne),"Aký je váš ""peak"" rank?",Aký je váš počet hodín v tejto hre?(stači približne) 2,"Aký je váš ""peak"" rank? 2",Aký je váš počet hodín v tejto hre?(stači približne) 3,"Aký je váš ""peak"" rank? 3",Aký je váš počet hodín v tejto hre?(stači približne) 4,"Aký je váš ""peak"" rank? 4",Aký je váš počet hodín v tejto hre?(stači približne) 5,Aký je váš počet hodín v tejto hre?(stači približne) 6,"Aký je váš ""peak"" rank? 5",Aký je váš počet hodín v tejto hre?(stači približne) 7,"Aký je váš ""peak"" rank? 6",Aký je váš počet hodín v tejto hre?(stači približne) 8,"Aký je váš ""peak"" rank? 7",Aký je váš počet hodín v tejto hre?(stači približne) 9,"Aký je váš ""peak"" rank? 8",Aký je váš počet hodín v tejto hre?(stači približne) 10,"Aký je váš ""peak"" rank? 9",Aký je váš počet hodín v tejto hre?(stači približne) 11,"Aký je váš ""peak"" rank? 10",Aký je váš počet hodín v tejto hre?(stači približne) 12,Rank,Ak máte ešte niečo čo by ste mi chceli upresniť:
3/6/2026 17:08:02,15-20,Muž,15-18,Ano,5,Žiadnu,Ano,4700,diamond,200,master guardian 1 - distinguished master guardian,500,diamond,,,300,platinum,1200,,,150,platinum,500,platinum,,,,,1250,emerald,,,
3/6/2026 21:16:20,15-20,Muž,12-15,Ano,5,Dota2,Nie,1500,diamond,50,gold nova 1-gold nova master,500,diamond,,,300,platinum,,,,400,diamond,250,gold,10,unranked,0,unranked,2000,copper,,,neger
3/10/2026 13:59:43,15-20,Muž,0,Ano,3,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 13:59:55,25-35,Žena,0,Ano,Som učiteľka,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 13:59:58,15-20,Muž,1-3,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 14:00:25,15-20,Muž,6-9,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 14:00:54,0-15,Muž,9-12,Ano,2,Žiadnu,Ano,,,,,,,,,,,150,,,,,,,,,,,,,,,
3/10/2026 14:01:29,15-20,Muž,1-3,Ano,2,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 14:01:32,15-20,Muž,12-15,Ano,3,Fortnite,Nie,400,unranked,,,,,,,,,,,,,,,,500,platinum,,,,,,,
3/10/2026 14:01:37,15-20,Muž,18-21,Ano,2,Valorant,Nie,,,,,,,,,jednu až dve hodini denne,gold,,,,,,,,,,,,,,,,
3/10/2026 14:01:50,0-15,Žena,0,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 14:01:59,15-20,Žena,1-3,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,Minecraft je 🔛🔝
3/10/2026 14:02:44,15-20,Žena,1-3,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 14:02:44,15-20,Muž,3-6,Ano,1,Fortnite,Nie,,,,,,,,,,,,,,,,,,1300,champion+,,,,,,,
3/10/2026 14:02:48,15-20,Muž,9-12,Ano,2,Rocket League,Nie,,,500,gold nova 1-gold nova master,560,diamond,,,,,,,,,,,,,,,,,,,,
3/10/2026 14:02:49,15-20,Muž,6-9,Ano,2,Rocket League,Nie,,,300,Silver 1 - silver elite master,1500,champ,,,,,,,,,,,,,,,,,,,,
3/10/2026 14:03:05,0-15,Žena,0,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 14:03:36,15-20,Muž,9-12,Ano,3,Rocket League,Nie,,,,,100,platinum,,,,,,,,1500,diamond,,,,,,,,,,,Bola to moja pravá fps hra
3/10/2026 14:04:35,0-15,Muž,6-9,Ano,1,Roblox,Nie,,,,,,,300,Neviem,,,,,,,,,,,,,,,,,,
3/10/2026 14:04:36,0-15,Žena,1-3,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 14:05:46,0-15,Muž,24+,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 14:05:47,15-20,Muž,6-9,Ano,1,Fortnite,Nie,,,440,Silver 1 - silver elite master,,,,,,,,,,,,,,30,silver,,,,,,,V counter strike hrávam s kamarátmi a nie profesionálne ale celkom mi to ide
3/10/2026 14:06:06,15-20,Muž,24+,Ano,1,Rocket League,Nie,,,,,3 dni,platinum,25 dni ,Nie Su tam ranky ,,,,,,,,,,,,,,,,,,Nemat forzu horizon ako vyber je hroza
3/10/2026 14:06:12,15-20,Muž,1-3,Ano,3,,Nie,,,,,279,platinum,,,,,,,,,,,,,,,,Viac než 250,gold,,,
3/10/2026 14:06:33,0-15,Muž,15-18,Ano,1,Counter strike 2,Nie,,,150,Silver 1 - silver elite master,,,,,,,,,,,,,,500,diamond,,,,,,,
3/10/2026 14:06:44,15-20,Muž,3-6,Ano,2,Fortnite,Nie,,,100,Silver 1 - silver elite master,,,,,500,gold,,,,,,,,1000,champion+,,,,,,,
3/10/2026 14:07:55,35+,Žena,0,Ano,Učiteľ ,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 14:07:56,35+,Žena,0,Ano,Teacher,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 14:07:57,15-20,Muž,6-9,Ano,2,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 14:08:31,35+,Muž,0,Nie,,Czech roleplay ,Nie,,,,,,,1000,Bronze,,,,,,,,,,,,,,,,,,
3/10/2026 14:08:39,15-20,Muž,9-12,Ano,2,,Nie,,,313,gold nova 1-gold nova master,10,unranked,,,250,bronze,,,,,,,,100,gold,,,,,,,
3/10/2026 14:09:36,15-20,Muž,3-6,Ano,3,Counter strike 2,Nie,,,250hodín ,master guardian 1 - distinguished master guardian,,,800,30 minutes in hell achievement ,,,,,,,,,,,,,,,,,,Harm Minecraft ale nieje to competetive
3/10/2026 14:11:00,0-15,Muž,6-9,Ano,1,Fortnite,Nie,,,,,,,,,,,,,,,,,,100,platinum,,,,,,,
3/10/2026 14:11:03,15-20,Muž,3-6,Ano,3,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hravam hlavne rozne 2D a/lebo retro singleplayer hry. Z mulitplayerovych hravam Deep Rock Galactic ale to je kooperativa, nie PvP"
3/10/2026 14:12:16,15-20,Muž,9-12,Ano,3,Rainbow 6 siege,Nie,,,,,,,,,,,3000,,,,,,,,,,,100,gold,,,
3/10/2026 14:13:47,15-20,Muž,15-18,Ano,3,Minecraft,Nie,,,,,,,"Za 12 rokov čo to hrám je to celkom veľmi veľa, bohužiaľ neviem určiť lebo nemám dáta ku dávnejšim rokom, ale môže sa to pohybovať okolo 6000 hodín za celých 12 rokov podľa môjho odhadoveho výpočtu",Málokedy hrávam PvP ale čo som sa pýtal kamarátov tak väčšina povedala LT3,,,,,,,,,,,,,,,,,,"Venujem sa hlavne redstone-u a špecifickým mechanikám hry, a staviam rôzne veci, hlavne stromy a interiéry, iba občas hrám PvP s kamarátmi."
3/10/2026 14:14:45,15-20,Muž,1-3,Ano,3,Counter strike 2,Nie,,,135,gold nova 1-gold nova master,,,,,,,,,,,,,,,,,,,,,,Váčšinou nehrávam vôbec ale raz za čas si niečo s kamarátmi zahrám. A hráme často skôr party hry ako REPO
3/10/2026 14:15:32,0-15,Žena,1-3,Ano,2,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,Meow(×_×)
3/10/2026 14:16:43,0-15,Muž,1-3,Ano,1,FC 26,Nie,,,,,,,100,Nie je ranked,,,,,,,,,,,,,,,,,,
3/10/2026 14:17:51,15-20,Žena,1-3,Ano,2,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 14:18:27,15-20,Žena,0,Ano,2,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 14:21:37,15-20,Žena,6-9,Ano,1,Valorant,Nie,,,,,,,,,150,silver,,,,,,som nova zatial okolo 25,unranked,,,,,,,,,
3/10/2026 14:22:03,15-20,Muž,6-9,Ano,2,Fortnite,Nie,,,70,unranked,,,,,,,,,,,,,,700,diamond,,,,,,,
3/10/2026 14:29:15,15-20,Muž,24+,Ano,2,TFT,Nie,1362,gold,,,,,,,,,,,,,,,,,,,,,,200,platinum,
3/10/2026 14:30:23,15-20,Žena,9-12,Ano,3,Rainbow 6 siege,Nie,hrozný uplne tak okolo 200-300,unranked,priliz vela okolo 600,master guardian 1 - distinguished master guardian,,,,,tak 300 cca,platinum,,,,,,,,,,,,100,platinum,,,
3/10/2026 14:31:53,15-20,Muž,3-6,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 14:37:24,15-20,Muž,0,Ano,3,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 14:43:37,15-20,Žena,6-9,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 14:44:25,15-20,Žena,0,Ano,2,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 14:51:09,0-15,Muž,1-3,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 14:59:43,15-20,Muž,15-18,Ano,1,Counter strike 2,Nie,,,360,unranked,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 15:03:15,15-20,Žena,0,Ano,3,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 15:15:25,0-15,Žena,0,Ano,1,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 15:28:56,15-20,Žena,1-3,Ano,3,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 15:30:53,0-15,Žena,0,Ano,1,Minecraft ,Nie,,,,,,,"Fakt, fakt neviem 🤷‍♀️",Umm pekny domček?,,,,,,,,,,,,,,,,,,Nehram 0h do tyzdna ale skor 2-3h do mesiaca 👾
3/10/2026 15:40:02,15-20,Žena,1-3,Ano,3,Tower Fall,Nie,,,,,,,100 hodín,Idk,,,,,,,,,,,,,,,,,,
3/10/2026 15:40:51,35+,Muž,0,Ano,Učím viaceré ,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 15:50:42,15-20,Žena,3-6,Ano,1,Valorant,Nie,,,,,8,gold,,,10,bronze,,,,,,,,,,,,,,,,
3/10/2026 16:01:26,15-20,Muž,6-9,Ano,2,Valorant,Nie,,,400,master guardian 1 - distinguished master guardian,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 16:06:48,15-20,Muž,6-9,Ano,2,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2026 16:14:21,15-20,Žena,0,Ano,2,Žiadnu,,,,,,,,,,,,,,,,,,,,,,,,,,,Nie
